    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
       105   162.4896    93.000  0.000001454  0.450447770  0.549398377  0.000152399  1  1.000000  0.000000   557.5584        NaN  1.111E-01        NaN  0.000001454  0.450447770  0.549398377  0.000152399          NaN          NaN          NaN          NaN
       106   151.8062    93.000  0.018552217  0.034316861  0.921146152  0.025984770  1  1.000000  0.000000   611.9134        NaN  1.509E-01        NaN  0.018552217  0.034316861  0.921146152  0.025984770          NaN          NaN          NaN          NaN
       107   121.6906    93.000  0.000010052  0.005823524  0.000000125  0.994166299  1  1.000000  0.000000   816.0255        NaN  6.094E-01        NaN  0.000010052  0.005823524  0.000000125  0.994166299          NaN          NaN          NaN          NaN
       108   140.5829    93.000  0.268690089  0.345922701  0.011492889  0.373894321  1  1.000000  0.000000   673.3972        NaN  2.366E-01        NaN  0.268690089  0.345922701  0.011492889  0.373894321          NaN          NaN          NaN          NaN
       109   156.2062    93.000  0.697905607  0.301314769  0.000143420  0.000636204  1  0.000000  1.000000        NaN   163.3944        NaN  2.012E-02          NaN          NaN          NaN          NaN  0.697905607  0.301314769  0.000143420  0.000636204
       110   114.6511    93.000  0.100450133  0.765918129  0.020221026  0.113410712  1  1.000000  0.000000   526.5712        NaN  9.147E-02        NaN  0.100450133  0.765918129  0.020221026  0.113410712          NaN          NaN          NaN          NaN
       111   140.2079    93.000  0.179748547  0.203587639  0.033031498  0.583632316  1  1.000000  0.000000   746.0545        NaN  4.070E-01        NaN  0.179748547  0.203587639  0.033031498  0.583632316          NaN          NaN          NaN          NaN
       112   124.9905    93.000  0.088892704  0.579810506  0.110585124  0.220711667  1  1.000000  0.000000   622.4898        NaN  1.651E-01        NaN  0.088892704  0.579810506  0.110585124  0.220711667          NaN          NaN          NaN          NaN
       113   156.1686    93.000  0.274175853  0.352549194  0.370648762  0.002626191  1  1.000000  0.000000   471.1157        NaN  6.909E-02        NaN  0.274175853  0.352549194  0.370648762  0.002626191          NaN          NaN          NaN          NaN
       114   145.3409    93.000  0.436034862  0.444729857  0.082613918  0.036621362  2  0.873057  0.126943   380.1205   264.7582  4.662E-02  2.979E-02  0.424465770  0.449373137  0.086162912  0.039998181  0.525394570  0.408865151  0.055201482  0.010538797
