    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        90   131.4087   103.926  0.000561851  0.524279442  0.473568340  0.001590367  1  1.000000  0.000000   525.6750        NaN  9.028E-02        NaN  0.000561851  0.524279442  0.473568340  0.001590367          NaN          NaN          NaN          NaN
        91   130.9777   106.898  0.198016277  0.801345092  0.000637539  0.000001092  1  1.000000  0.000000   314.8943        NaN  3.625E-02        NaN  0.198016277  0.801345092  0.000637539  0.000001092          NaN          NaN          NaN          NaN
        92   159.5356   109.286  0.010263602  0.988973066  0.000000000  0.000763331  1  1.000000  0.000000   409.7348        NaN  5.311E-02        NaN  0.010263602  0.988973066  0.000000000  0.000763331          NaN          NaN          NaN          NaN
        93   118.4977   107.425  0.171845993  0.126686552  0.701467393  0.000000062  1  1.000000  0.000000   525.7310        NaN  8.784E-02        NaN  0.171845993  0.126686552  0.701467393  0.000000062          NaN          NaN          NaN          NaN
        94   119.7475   106.787  0.193357398  0.649277624  0.029924220  0.127440759  1  1.000000  0.000000   504.8155        NaN  8.033E-02        NaN  0.193357398  0.649277624  0.029924220  0.127440759          NaN          NaN          NaN          NaN
        95   142.2612   104.163  0.269244093  0.287162514  0.429636882  0.013956511  1  1.000000  0.000000   477.8287        NaN  7.018E-02        NaN  0.269244093  0.287162514  0.429636882  0.013956511          NaN          NaN          NaN          NaN
        96   143.8888    72.856  0.011285362  0.507109959  0.474541570  0.007063109  1  1.000000  0.000000   565.7538        NaN  1.201E-01        NaN  0.011285362  0.507109959  0.474541570  0.007063109          NaN          NaN          NaN          NaN
        97   146.9589    83.434  0.978187145  0.008993103  0.001243068  0.011576685  2  0.019115  0.980885   739.5180    88.6799  3.947E-01  1.586E-02  0.396636266  0.016574735  0.011947285  0.574841714  0.989648768  0.008843678  0.001032101  0.000475453
        98   152.7696    89.883  0.070393207  0.541619475  0.387474769  0.000512549  1  1.000000  0.000000   519.4214        NaN  8.958E-02        NaN  0.070393207  0.541619475  0.387474769  0.000512549          NaN          NaN          NaN          NaN
        99   123.1600    71.024  0.838970341  0.000013400  0.161016258  0.000000001  2  0.130632  0.869368   490.8162    99.9430  7.599E-02  1.556E-02  0.443335869  0.000021259  0.556642867  0.000000006  0.945852654  0.000011276  0.054136069  0.000000000
       100   145.5973   103.548  0.295816318  0.000001574  0.703801449  0.000380660  1  1.000000  0.000000   518.5931        NaN  8.544E-02        NaN  0.295816318  0.000001574  0.703801449  0.000380660          NaN          NaN          NaN          NaN
       101   138.5540    74.903  0.109416106  0.430453077  0.000159852  0.459970965  1  1.000000  0.000000   727.4907        NaN  3.721E-01        NaN  0.109416106  0.430453077  0.000159852  0.459970965          NaN          NaN          NaN          NaN
       102   147.5236    69.854  0.000255728  0.015575467  0.626354980  0.357813825  1  1.000000  0.000000   731.1862        NaN  3.622E-01        NaN  0.000255728  0.015575467  0.626354980  0.357813825          NaN          NaN          NaN          NaN
       103   139.9029    77.485  0.351885116  0.316733749  0.001563426  0.329817709  1  1.000000  0.000000   658.3599        NaN  2.174E-01        NaN  0.351885116  0.316733749  0.001563426  0.329817709          NaN          NaN          NaN          NaN
       104   147.4006    74.711  0.095212474  0.618735333  0.231118891  0.054933302  1  1.000000  0.000000   549.9131        NaN  1.087E-01        NaN  0.095212474  0.618735333  0.231118891  0.054933302          NaN          NaN          NaN          NaN
       105   133.8484    85.493  0.018928926  0.005079969  0.163479183  0.812511922  1  1.000000  0.000000   798.4001        NaN  5.649E-01        NaN  0.018928926  0.005079969  0.163479183  0.812511922          NaN          NaN          NaN          NaN
       106   161.6727   107.802  0.022615013  0.000049376  0.723967441  0.253368170  1  1.000000  0.000000   682.6107        NaN  2.372E-01        NaN  0.022615013  0.000049376  0.723967441  0.253368170          NaN          NaN          NaN          NaN
       107   130.9227    70.369  0.956215495  0.000000001  0.000201723  0.043582782  2  0.067096  0.932904   757.6616    81.1455  4.628E-01  1.514E-02  0.376327017  0.000000001  0.001554109  0.622118874  0.999665525  0.000000000  0.000100391  0.000234083
       108   157.0203    79.488  0.000101206  0.000017500  0.288606337  0.711274956  1  1.000000  0.000000   790.2799        NaN  5.448E-01        NaN  0.000101206  0.000017500  0.288606337  0.711274956          NaN          NaN          NaN          NaN
       109   138.2438    96.648  0.046304680  0.354068690  0.214747975  0.384878655  1  1.000000  0.000000   702.6496        NaN  2.903E-01        NaN  0.046304680  0.354068690  0.214747975  0.384878655          NaN          NaN          NaN          NaN
       110   149.9739   114.223  0.384518450  0.028241141  0.164258297  0.422982112  1  1.000000  0.000000   678.3633        NaN  2.332E-01        NaN  0.384518450  0.028241141  0.164258297  0.422982112          NaN          NaN          NaN          NaN
       111   161.0434   117.001  0.479482487  0.256507173  0.152329820  0.111680520  2  0.702024  0.297976   520.4851   166.1732  8.668E-02  2.062E-02  0.397363683  0.270087977  0.184555401  0.147992938  0.723043114  0.216227128  0.056750215  0.003979543
       112   136.0672   114.417  0.122040397  0.080295068  0.000001297  0.797663237  1  1.000000  0.000000   777.3644        NaN  4.782E-01        NaN  0.122040397  0.080295068  0.000001297  0.797663237          NaN          NaN          NaN          NaN
       113   159.8996   105.366  0.661660118  0.159503906  0.005840900  0.172995076  2  0.396211  0.603789   672.6814   115.7970  2.309E-01  1.745E-02  0.381229624  0.197325450  0.011386743  0.410058182  0.864220942  0.132184612  0.001835021  0.001759425
       114   159.1445    73.602  0.031326696  0.962983877  0.005689389  0.000000038  1  1.000000  0.000000   461.8576        NaN  6.862E-02        NaN  0.031326696  0.962983877  0.005689389  0.000000038          NaN          NaN          NaN          NaN
       115   117.5445    77.187  0.001540024  0.001518310  0.003317755  0.993623912  1  1.000000  0.000000   822.1796        NaN  6.568E-01        NaN  0.001540024  0.001518310  0.003317755  0.993623912          NaN          NaN          NaN          NaN
